DETECÇÃO DE FUNGOS - RESULTADO COMPLETO
============================================================

Total de fungos: 277
Área da folha: 2,325,740 pixels
Área de fungos: 144,991 pixels
Porcentagem infectada: 6.23%

Área média dos fungos: 523.4 px
Área mínima: 15 px
Área máxima: 4726 px

============================================================
LISTA COMPLETA (ordenada por tamanho):
============================================================

Fungo #240: posição (2122.9, 2305.4) -    34 px²
Fungo #241: posição (2829.8, 1767.1) -    32 px²
Fungo #242: posição (2576.7, 1120.8) -    31 px²
Fungo #243: posição (1648.8, 2000.8) -    30 px²
Fungo #244: posição ( 892.0, 2232.5) -    30 px²
Fungo #245: posição (1814.5, 1180.0) -    29 px²
Fungo #246: posição (2018.1, 1466.1) -    29 px²
Fungo #247: posição (2852.4, 1673.3) -    29 px²
Fungo #248: posição (2138.3, 2290.9) -    29 px²
Fungo #249: posição (1960.4, 1195.8) -    28 px²
Fungo #250: posição (2882.4, 1657.6) -    28 px²
Fungo #251: posição (2875.7, 1689.3) -    28 px²
Fungo #252: posição (2431.5, 2177.8) -    28 px²
Fungo #253: posição (1506.5, 2400.4) -    28 px²
Fungo #254: posição (1905.3, 1851.8) -    27 px²
Fungo #255: posição (2052.7, 2283.4) -    27 px²
Fungo #256: posição (2326.3, 1823.5) -    25 px²
Fungo #257: posição (1452.9, 2350.9) -    25 px²
Fungo #258: posição (3467.5, 1231.4) -    24 px²
Fungo #259: posição (2895.6, 1646.6) -    24 px²
Fungo #260: posição ( 967.3, 2192.8) -    24 px²
Fungo #261: posição (1349.3, 1425.3) -    23 px²
Fungo #262: posição (2560.7, 1429.5) -    23 px²
Fungo #263: posição (1927.6, 1133.6) -    22 px²
Fungo #264: posição (2574.2, 1420.0) -    22 px²
Fungo #265: posição (2170.2, 1075.3) -    21 px²
Fungo #266: posição (3451.3, 1234.0) -    21 px²
Fungo #267: posição (1916.8, 1843.4) -    20 px²
Fungo #268: posição (2499.7, 1997.3) -    20 px²
Fungo #269: posição (3481.6, 1183.2) -    18 px²
Fungo #270: posição (1124.6, 1691.1) -    18 px²
Fungo #271: posição (2496.6, 2125.8) -    18 px²
Fungo #272: posição (2549.7, 1436.8) -    17 px²
Fungo #273: posição (2888.6, 1650.8) -    17 px²
Fungo #274: posição (1115.6, 1700.1) -    17 px²
Fungo #275: posição (1016.7, 1960.3) -    16 px²
Fungo #276: posição (1591.0, 2396.5) -    16 px²
Fungo #277: posição ( 904.0, 2228.4) -    15 px²
